
0.2,-0.1,0.0,0.0,0.0
0.5,-0.3,0.1,-0.1,0.0
1.2,-0.6,0.3,-0.2,0.1
2.1,-1.0,0.7,-0.4,0.2
4.3,-1.8,1.8,-0.8,0.4
8.1,-3.2,4.2,-1.6,0.9
14.5,-5.8,9.1,-3.1,1.8
22.3,-9.1,16.2,-5.8,3.1
31.4,-13.2,24.7,-9.4,4.8
40.2,-17.5,33.5,-13.8,6.9
47.8,-21.3,41.2,-17.9,9.2
53.1,-24.1,47.6,-21.4,11.8
56.4,-25.8,52.3,-23.9,13.9
57.9,-26.2,55.1,-25.3,15.4
58.6,-26.4,57.0,-25.9,16.3
59.1,-26.5,58.2,-26.2,16.8
59.4,-26.5,58.8,-26.4,17.0
59.6,-26.6,59.2,-26.5,17.1
59.8,-26.6,59.5,-26.6,17.2
60.1,-26.7,59.7,-26.6,17.2
61.4,-26.8,60.1,-26.7,17.3
64.2,-27.1,61.4,-26.8,17.4
69.8,-27.8,64.8,-27.0,17.6
78.3,-29.1,70.9,-27.5,18.1
89.4,-31.2,79.8,-28.4,18.9
102.1,-34.1,91.4,-29.8,20.1
113.8,-37.4,103.2,-31.8,21.8
121.9,-40.1,113.4,-34.2,23.8
126.4,-41.8,120.8,-36.8,25.9
128.1,-42.4,125.2,-39.1,27.8
128.8,-42.6,127.3,-41.0,29.3
129.1,-42.7,128.3,-41.9,30.2
129.3,-42.7,128.8,-42.3,30.7
129.4,-42.8,129.1,-42.6,30.9
129.4,-42.8,129.3,-42.7,31.0
129.5,-42.8,129.4,-42.8,31.1
129.6,-42.9,129.4,-42.8,31.1
131.2,-43.1,129.6,-42.9,31.2
135.8,-43.8,130.8,-43.0,31.3
138.2,-44.1,134.1,-43.4,31.5
137.4,-43.9,136.9,-43.7,31.6
135.1,-43.5,137.1,-43.8,31.6
131.2,-42.8,135.8,-43.6,31.5
125.4,-41.6,132.1,-43.2,31.4
117.8,-39.8,126.8,-42.4,31.2
108.2,-37.4,119.4,-41.2,30.9
97.1,-34.2,109.8,-39.4,30.4
84.9,-30.4,98.4,-36.9,29.8
72.1,-26.1,85.6,-33.6,29.0
59.4,-21.4,72.1,-29.8,28.1
47.2,-16.8,58.8,-25.6,27.1
36.1,-12.4,46.4,-21.1,26.0
26.4,-8.4,35.2,-16.8,24.8
18.2,-5.1,25.6,-12.8,23.5
11.8,-2.4,17.8,-9.2,22.2
6.9,-0.6,11.8,-6.1,20.9
3.4,0.4,7.2,-3.6,19.6
1.2,0.9,4.1,-1.8,18.4
0.2,1.1,2.2,-0.6,17.3
-0.3,1.0,1.1,0.1,16.3
-0.5,0.8,0.4,0.5,15.4
-0.6,0.6,0.1,0.6,14.6
-0.5,0.4,0.0,0.6,13.8
-0.4,0.3,0.0,0.5,13.1
-0.3,0.2,0.0,0.4,12.5
-0.2,0.1,0.0,0.3,11.9
-0.1,0.1,0.0,0.2,11.3
-0.1,0.0,0.0,0.1,10.8
0.0,0.0,0.0,0.1,10.3
0.1,0.0,0.0,0.0,9.8
0.0,0.0,0.0,0.0,9.4
0.1,-0.1,0.0,0.0,8.9
0.0,0.0,0.0,0.0,8.5
0.1,0.0,0.0,0.0,8.1
0.0,0.0,0.0,0.0,7.7
